t,u1,u2,u3,f1,f2
0.11801180118011802,1.0383213,0.8486614,0.30118737,0.24987882,0.31112865
0.11901190119011901,1.0385693,0.84897137,0.29942334,0.24849841,0.30928132
0.12001200120012001,1.038816,0.84927887,0.2976594,0.24711722,0.3074336
0.12101210121012101,1.0390618,0.8495851,0.29589364,0.24573343,0.30558413
0.12201220122012202,1.0393059,0.84988964,0.29412696,0.24434794,0.30373368
0.12301230123012301,1.0395479,0.8501922,0.29235965,0.24296121,0.30188268
0.12401240124012401,1.03979,0.850493,0.2905905,0.24157216,0.3000292
0.125012501250125,1.0400299,0.8507914,0.28882053,0.24018168,0.2981755
0.126012601260126,1.0402687,0.85108894,0.28704965,0.23878932,0.29632053
0.127012701270127,1.040506,0.8513836,0.28527758,0.23739576,0.29446453
0.128012801280128,1.0407428,0.8516776,0.28350464,0.23599994,0.29260728
0.12901290129012902,1.0409768,0.85196966,0.28173023,0.23460242,0.29074916
0.13001300130013002,1.0412102,0.8522595,0.27995515,0.23320347,0.28889033
0.13101310131013102,1.0414416,0.8525477,0.27817976,0.23180349,0.2870309
0.132013201320132,1.0416725,0.85283345,0.27640152,0.23040101,0.28516895
0.133013301330133,1.0419015,0.8531183,0.27462286,0.22899686,0.2833067
0.134013401340134,1.0421284,0.8534013,0.2728435,0.22759153,0.28144383
0.135013501350135,1.0423559,0.85368204,0.27106324,0.22618456,0.27957994
0.13601360136013602,1.042581,0.85396117,0.2692814,0.22477575,0.2777147
0.13701370137013702,1.0428046,0.8542385,0.2674992,0.22336562,0.2758493
0.13801380138013802,1.0430263,0.85451424,0.26571578,0.22195396,0.27398297
0.13901390139013903,1.0432475,0.8547878,0.26393104,0.2205405,0.27211544
0.14001400140014,1.0434667,0.8550598,0.26214534,0.21912575,0.27024704
0.141014101410141,1.0436848,0.85533017,0.26035878,0.2177093,0.2683781
0.142014201420142,1.0439022,0.85559857,0.25857085,0.21629107,0.26650795
0.14301430143014301,1.044117,0.85586476,0.25678313,0.21487236,0.26463822
0.14401440144014402,1.044331,0.85613,0.2549931,0.21345104,0.26276654
